common,strat_id,psu_id,YEAR,ST,MODE_FX,AREA_X,ID_CODE,SUB_REG,WAVE,kod,SP_CODE,CLAIM,RELEASE,HARVEST,CLAIM_UNADJ,HARVEST_UNADJ,RELEASE_UNADJ,tot_len_a,wgt_a,tot_len_b1,wgt_b1,region,month,tot_cat,wgt_ab1,tot_len,landing,var_id,arx_method,alt_flag,fl_reg,wp_catch_precal,wp_int,wp_catch
,2017011253weS:8AM-8PM,2017112531534720170107,2017,12,3,1,1534720170107005,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,01,0,0,0,0,2017011253weS:8AM-8PM,,0,8,2557.5307304,14137.410158,14137.410158
LEFTEYE FLOUNDER GENUS,2017011263weS:8AM-8PM,2017112631550820170106,2017,12,3,1,1550820170106001,6,1,we,8857030300,0,0,1,0,1,0,0,0,0,0,6,01,1,0,0,1,2017011263weS:8AM-8PM,,0,8,5629.1415199,31116.530314,31132.080809
RED DRUM,2017011263weS:8AM-8PM,2017112631550820170106,2017,12,3,1,1550820170106001,6,1,we,8835440901,0,0,1,0,1,0,0,0,646,3.54,6,01,1,3.54,646,1,2017011263weS:8AM-8PM,,0,8,5629.1415199,31116.530314,31132.080809
HAIRY BLENNY,2017011263weS:8AM-8PM,2017112631550820170106,2017,12,3,1,1550820170106002,6,1,we,8842090307,0,1,0,0,0,1,0,0,0,0,6,01,1,0,0,0,2017011263weS:8AM-8PM,,0,8,5629.1415199,31116.530314,31113.389243
CREVALLE JACK,2017011263weS:8AM-8PM,2017112631550820170106,2017,12,3,1,1550820170106003,6,1,we,8835280303,0,0,1,0,1,0,0,0,382,1.06,6,01,1,1.06,382,1,2017011263weS:8AM-8PM,,0,8,5629.1415199,31116.530314,31132.080809
HAIRY BLENNY,2017011263weS:8AM-8PM,2017112631550820170106,2017,12,3,1,1550820170106003,6,1,we,8842090307,0,1,0,0,0,1,0,0,0,0,6,01,1,0,0,0,2017011263weS:8AM-8PM,,0,8,5629.1415199,31116.530314,31113.389243
RED DRUM,2017011263weS:8AM-8PM,2017112631550820170106,2017,12,3,1,1550820170106003,6,1,we,8835440901,1,0,0,1,0,0,631,2.78,0,0,6,01,1,2.78,631,1,2017011263weS:8AM-8PM,,0,8,5629.1415199,31116.530314,31132.080809
STINGRAY GENUS,2017011263weS:8AM-8PM,2017112631550820170106,2017,12,3,1,1550820170106003,6,1,we,8713050100,0,1,0,0,0,1,0,0,0,0,6,01,1,0,0,0,2017011263weS:8AM-8PM,,0,8,5629.1415199,31116.530314,31111.600843
CREVALLE JACK,2017011263weS:8AM-8PM,2017112631550820170106,2017,12,3,1,1550820170106004,6,1,we,8835280303,0,0,2,0,2,0,0,0,819,2.46,6,01,2,2.46,819,2,2017011263weS:8AM-8PM,,0,8,5629.1415199,31116.530314,31132.080809
HAIRY BLENNY,2017011263weS:8AM-8PM,2017112631550820170106,2017,12,3,1,1550820170106004,6,1,we,8842090307,0,2,0,0,0,2,0,0,0,0,6,01,2,0,0,0,2017011263weS:8AM-8PM,,0,8,5629.1415199,31116.530314,31113.389243
