YEAR,ST,MODE_FX,AREA_X,ID_CODE,SUB_REG,WAVE,kod,SP_CODE,LNGTH,WGT,lngth_imp,wgt_imp,strat_id,psu_id,common,wgt_unadj,wp_size,l_in_bin,l_cm_bin,VAR_ID,ARX_METHOD,ALT_FLAG
2017,12,3,5,1511220170225004,6,1,we,,,,0,0,2017021273weS:8AM-8PM,2017112731511220170225,,,604.02975656,,,2017021273weS:8AM-8PM,,0
2017,12,3,5,1515620170108002,6,1,we,,,,0,0,2017011273weS:8AM-8PM,2017112731515620170108,,,32663.225655,,,2017011273weS:8AM-8PM,,0
2017,12,3,5,1515620170203001,6,1,we,8835440102,392,0.52,0,0,2017021273weS:8AM-8PM,2017112731515620170203,SPOTTED SEATROUT,,15752.263441,15,39,2017021273weS:8AM-8PM,,0
2017,12,3,5,1534520170219001,6,1,we,,,,0,0,2017021263weS:8AM-8PM,2017112631534520170219,,,18277.817095,,,2017021263weS:8AM-8PM,,0
2017,12,3,5,1534520170219003,6,1,we,,,,0,0,2017021263weS:8AM-8PM,2017112631534520170219,,,18277.817095,,,2017021263weS:8AM-8PM,,0
2017,12,3,5,1534520170219005,6,1,we,,,,0,0,2017021263weS:8AM-8PM,2017112631534520170219,,,18277.817095,,,2017021263weS:8AM-8PM,,0
2017,12,3,5,1534520170219006,6,1,we,,,,0,0,2017021263weS:8AM-8PM,2017112631534520170219,,,18277.817095,,,2017021263weS:8AM-8PM,,0
2017,12,3,5,1534520170219007,6,1,we,,,,0,0,2017021263weS:8AM-8PM,2017112631534520170219,,,18277.817095,,,2017021263weS:8AM-8PM,,0
2017,12,3,5,1543720170120003,6,1,we,,,,0,0,2017011253weS:8AM-8PM,2017112531543720170120,,,3523.2346279,,,2017011253weS:8AM-8PM,,0
2017,12,3,5,1543720170120004,6,1,we,,,,0,0,2017011253weS:8AM-8PM,2017112531543720170120,,,3523.2346279,,,2017011253weS:8AM-8PM,,0
