prim2_common,prim1_common,strat_id,psu_id,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,NUM_TYP9,BOAT_HRS,telefon,COASTAL,new_list,kod,ASG_CODE,MODE_ASG,PRT_CODE,CELLTYPE,fshinsp_a,num_fish_a,region,strat_interval,month,COUNTY,TIME,tsn1,tsn2,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,date1,DIST,prim1,prim2,AREA_NC,MODE2001,MONITOR,TOURN,TURTLE,AGE,GENDER,ART_REEF,REEFCODE,muni_res,muni_trp,wp_int,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,fl_reg
,KINGFISH GENUS,2015021273weS:8AM-8PM,2015112731511220150216,2015,6,12,127,12,127,21,1,3,1,1,2,0,0,0,1,3,0,0,0,,,1511220150216001,6,1,2,,,,,Y,,we,1511220150216,,1511220150216001,2,,,7,S:8AM-8PM,02,VOLUSIA,1046,169273,,1,1,1,8,1,8,20MAR201511:02,1,8835440600,,,,,,,,,,,,,25934.464346,2015021273weS:8AM-8PM,,0,1511220150216001,8
,,2015021273weS:8AM-8PM,2015112731511220150216,2015,6,37,97,12,127,21,1,3,1,1,2.5,,10,6,1,0,0,0,0,,,1511220150216002,6,1,2,,,,,O,,we,1511220150216,,1511220150216002,,,,7,S:8AM-8PM,02,,1125,,,1,1,1,8,2,8,20MAR201511:02,1,,,,,,,,,,,,,,6351.6157467,2015021273weS:8AM-8PM,,0,1511220150216002,8
,BLUEFISH,2015021273weS:8AM-8PM,2015112731511220150216,2015,6,12,127,12,127,21,1,3,1,1,1,,70,25,1,0,0,0,0,,,1511220150216003,6,1,2,,,,,Y,,we,1511220150216,,1511220150216003,,,,7,S:8AM-8PM,02,VOLUSIA,1208,168559,,1,1,1,8,1,8,20MAR201511:02,1,8835250101,,,,,,,,,,,,,6351.6157467,2015021273weS:8AM-8PM,,0,1511220150216003,8
,,2015021273weS:8AM-8PM,2015112731511220150216,2015,6,12,127,12,127,21,1,3,1,1,1,,6,6,1,0,0,0,0,,,1511220150216004,6,1,2,,,,,Y,,we,1511220150216,,1511220150216004,,,,7,S:8AM-8PM,02,VOLUSIA,1209,,,1,1,1,8,2,8,20MAR201511:02,1,,,,,,,,,,,,,,6351.6157467,2015021273weS:8AM-8PM,,0,1511220150216004,8
,KINGFISH GENUS,2015011273wdS:8AM-8PM,2015112731515620150113,2015,6,12,31,12,31,43,1,3,1,1,3,0,60,7,1,1,0,0,0,,,1515620150113001,6,1,2,,,,,Y,,wd,1515620150113,,1515620150113001,2,,,7,S:8AM-8PM,01,DUVAL,921,169273,,1,1,1,8,1,8,19FEB201516:56,1,8835440600,,,,,,,,,,,,,60934.344755,2015011273wdS:8AM-8PM,,0,1515620150113001,8
,KINGFISH GENUS,2015011273wdS:8AM-8PM,2015112731515620150113,2015,6,12,31,12,31,43,1,3,1,1,4,0,100,15,1,1,0,0,0,,,1515620150113002,6,1,2,,,,,Y,,wd,1515620150113,,1515620150113002,2,0,1,7,S:8AM-8PM,01,DUVAL,1037,169273,,1,1,1,8,2,8,19FEB201516:56,1,8835440600,,,,,,,,,,,,,60934.344755,2015011273wdS:8AM-8PM,,0,1515620150113002,8
SPANISH MACKEREL,BLUEFISH,2015011273wdS:8AM-8PM,2015112731515620150113,2015,6,12,19,12,31,43,1,3,1,1,2,0,7,0,1,1,0,0,0,,,1515620150113003,6,1,2,,,,,Y,,wd,1515620150113,,1515620150113003,2,,,7,S:8AM-8PM,01,CLAY,1203,168559,172436,1,1,1,8,1,8,19FEB201516:56,1,8835250101,8850030502,,,,,,,,,,,,90752.679203,2015011273wdS:8AM-8PM,,0,1515620150113003,8
,KINGFISH GENUS,2015011273wdS:8AM-8PM,2015112731515620150113,2015,6,12,31,12,31,43,1,3,1,1,2.5,,10,7,1,0,0,0,0,,,1515620150113004,6,1,2,,,,,Y,,wd,1515620150113,,1515620150113004,,,,7,S:8AM-8PM,01,DUVAL,1230,169273,,1,1,1,8,1,8,19FEB201516:56,1,8835440600,,,,,,,,,,,,,90752.679203,2015011273wdS:8AM-8PM,,0,1515620150113004,8
,KINGFISH GENUS,2015011273wdS:8AM-8PM,2015112731515620150113,2015,6,12,31,12,31,43,1,3,1,1,5,0,70,20,1,0,1,0,0,,,1515620150113005,6,1,1,,,,,Y,,wd,1515620150113,,1515620150113005,2,5,0,7,S:8AM-8PM,01,DUVAL,1306,169273,,1,1,1,8,2,1,19FEB201516:56,1,8835440600,,,,,,,,,,,,,90752.679203,2015011273wdS:8AM-8PM,,0,1515620150113005,8
,KINGFISH GENUS,2015011273weS:8AM-8PM,2015112731515620150118,2015,6,12,31,12,109,3023,5,3,1,1,1.5,1,30,20,1,0,4,0,0,,,1515620150118001,6,1,1,,,,,Y,,we,1515620150118,,1515620150118001,2,4,0,7,S:8AM-8PM,01,DUVAL,834,169273,,1,1,1,8,1,1,19FEB201516:56,1,8835440600,,,,,,,,,,,,,31225.892226,2015011273weS:8AM-8PM,,0,1515620150118001,8
