prim2_common,prim1_common,strat_id,psu_id,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,BOAT_HRS,NUM_TYP9,telefon,COASTAL,new_list,kod,ASG_CODE,MODE_ASG,PRT_CODE,CELLTYPE,fshinsp_a,num_fish_a,region,strat_interval,month,COUNTY,TIME,tsn1,tsn2,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,date1,DIST,prim1,prim2,MODE2001,TURTLE,GENDER,REEFCODE,AGE,AREA_NC,ART_REEF,muni_res,muni_trp,wp_int,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,fl_reg
,ATLANTIC HERRING,201603913weS:8AM-8PM,201629131748920160311,2016,4,9,1,9,1,881,1,3,C,5,1,0.00,60,4,1,2,0,0,0,,,1748920160311001,4,2,2,,,,,Y,,we,1748920160311,1,1748920160311001,2,,,1,S:8AM-8PM,03,FAIRFIELD,1522,161722,,,1,1,8,1,8,17MAR17:11:08,8,8747010201,,1,,0,,,,,,,260.9171284,201603913weS:8AM-8PM,,0,1748920160311001,8
STRIPED BASS,ATLANTIC HERRING,201603913weS:8AM-8PM,201629131748920160311,2016,4,9,1,9,1,881,1,3,C,5,1,,35,3,1,0,0,0,0,,,1748920160311002,4,2,2,,,,,Y,,we,1748920160311,1,1748920160311002,,,,1,S:8AM-8PM,03,FAIRFIELD,1526,161722,167680,,1,1,8,1,8,17MAR17:11:08,8,8747010201,8835020102,1,,0,,,,,,,260.9171284,201603913weS:8AM-8PM,,0,1748920160311002,8
,STRIPED BASS,201603913wdS:8AM-8PM,201629131748920160316,2016,4,9,1,9,1,131,1,3,C,5,0.5,,250,0,1,0,0,0,0,,,1748920160316001,4,2,2,,,,,Y,,wd,1748920160316,3,1748920160316001,,,,1,S:8AM-8PM,03,FAIRFIELD,1627,167680,,,1,1,8,1,8,17MAR17:11:08,8,8835020102,,1,,0,,,,,,,396.61653637,201603913wdS:8AM-8PM,,0,1748920160316001,8
ATLANTIC SALMON,STRIPED BASS,201603913weS:8AM-8PM,201629131748920160320,2016,4,9,11,9,11,754,5,3,C,5,1.5,2.50,998,10,1,0,0,0,0,,,1748920160320001,4,2,2,,,,,Y,,we,1748920160320,3,1748920160320001,,,,1,S:8AM-8PM,03,NEW LONDON,1650,167680,161996,,1,1,8,1,8,17MAR17:11:08,8,8835020102,8755010305,5,,0,,,,,,,140.68094788,201603913weS:8AM-8PM,,0,1748920160320001,8
,STRIPED BASS,201603913weS:8AM-8PM,201629131748920160325,2016,4,9,1,9,1,131,1,3,C,5,1,,24,6,1,0,0,0,0,,,1748920160325001,4,2,2,,,,,Y,,we,1748920160325,3,1748920160325001,,,,1,S:8AM-8PM,03,FAIRFIELD,1243,167680,,,1,1,8,1,8,17MAR17:11:08,8,8835020102,,1,,0,,,,,,,163.14105635,201603913weS:8AM-8PM,,0,1748920160325001,8
WINTER FLOUNDER,STRIPED BASS,201603913weS:8AM-8PM,201629131748920160325,2016,4,9,9,9,1,131,1,3,C,5,0.5,,100,0,1,0,0,0,0,,,1748920160325002,4,2,2,,,,,Y,,we,1748920160325,3,1748920160325002,,,,1,S:8AM-8PM,03,NEW HAVEN,1350,167680,172904,,1,1,8,1,8,17MAR17:11:08,8,8835020102,8857042001,1,,0,,,,,,,163.14105635,201603913weS:8AM-8PM,,0,1748920160325002,8
WHITE PERCH,STRIPED BASS,201604913wdS:8AM-8PM,201629131748920160418,2016,4,9,9,9,1,817,1,3,C,5,3,,15,0,1,0,0,0,0,,,1748920160418001,4,2,2,,,,,Y,,wd,1748920160418,3,1748920160418001,,,,1,S:8AM-8PM,04,NEW HAVEN,1213,167680,167678,,1,1,8,1,8,17MAR17:11:08,8,8835020102,8835020101,0,,0,,,,,,,10862.388915,201604913wdS:8AM-8PM,,0,1748920160418001,8
SCUP,STRIPED BASS,201604913wdS:8AM-8PM,201629131748920160418,2016,4,9,9,9,1,817,1,3,C,5,2.5,,20,7,1,0,0,0,0,,,1748920160418002,4,2,2,,,,,Y,,wd,1748920160418,3,1748920160418002,,,,1,S:8AM-8PM,04,NEW HAVEN,1216,167680,169182,,1,1,8,1,8,17MAR17:11:08,8,8835020102,8835430101,0,,0,,,,,,,10862.388915,201604913wdS:8AM-8PM,,0,1748920160418002,8
WINTER FLOUNDER,STRIPED BASS,201604913wdS:8AM-8PM,201629131748920160418,2016,4,9,1,9,1,817,1,3,C,5,6,,25,0,1,0,0,0,0,,,1748920160418003,4,2,2,,,,,Y,,wd,1748920160418,3,1748920160418003,,,,1,S:8AM-8PM,04,FAIRFIELD,1219,167680,172904,,1,1,8,1,8,17MAR17:11:08,8,8835020102,8857042001,0,,0,,,,,,,10862.388915,201604913wdS:8AM-8PM,,0,1748920160418003,8
,STRIPED BASS,201604913wdS:8AM-8PM,201629131748920160418,2016,4,9,5,9,1,817,1,3,C,5,2.5,,60,1,1,0,0,0,0,,,1748920160418004,4,2,2,,,,,Y,,wd,1748920160418,3,1748920160418004,,,,1,S:8AM-8PM,04,LITCHFIELD,1320,167680,,,1,1,8,1,8,17MAR17:11:08,8,8835020102,,0,,0,,,,,,,10862.388915,201604913wdS:8AM-8PM,,0,1748920160418004,8
,STRIPED BASS,201604913wdS:8AM-8PM,201629131748920160418,2016,4,9,9,9,1,817,1,3,C,5,2.5,,60,0,1,0,0,0,0,,,1748920160418005,4,2,2,,,,,Y,,wd,1748920160418,3,1748920160418005,,,,1,S:8AM-8PM,04,NEW HAVEN,1325,167680,,,1,1,8,1,8,17MAR17:11:08,8,8835020102,,0,,0,,,,,,,10862.388915,201604913wdS:8AM-8PM,,0,1748920160418005,8
WINTER FLOUNDER,TAUTOG,201604913weS:8AM-8PM,201629131748920160424,2016,4,9,11,9,11,679,5,3,C,5,2,0.00,24,1,1,0,1,0,0,,,1748920160424001,4,2,1,,,,,Y,,we,1748920160424,1,1748920160424001,2,1,0,1,S:8AM-8PM,04,NEW LONDON,1213,170479,172904,,1,1,8,1,1,17MAR17:11:08,8,8839010101,8857042001,5,,0,,,,,,,191.02960644,201604913weS:8AM-8PM,,0,1748920160424001,8
,STRIPED BASS,201604913weS:8AM-8PM,201629131748920160424,2016,4,9,11,9,11,679,5,3,C,5,1.5,0.00,2,1,1,0,0,0,0,,,1748920160424003,4,2,2,,,,,Y,,we,1748920160424,1,1748920160424003,,,,1,S:8AM-8PM,04,NEW LONDON,1300,167680,,,1,1,8,1,8,17MAR17:11:08,8,8835020102,,5,,0,,,,,,,191.02960644,201604913weS:8AM-8PM,,0,1748920160424003,8
,TAUTOG,201604913weS:8AM-8PM,201629131748920160424,2016,4,9,11,9,11,679,5,3,C,5,1,0.00,2,1,1,0,0,0,0,,,1748920160424004,4,2,2,,,,,Y,,we,1748920160424,1,1748920160424004,,,,1,S:8AM-8PM,04,NEW LONDON,1320,170479,,,1,1,8,1,8,17MAR17:11:08,8,8839010101,,5,,0,,,,,,,191.02960644,201604913weS:8AM-8PM,,0,1748920160424004,8
,WINTER FLOUNDER,201604913weS:8AM-8PM,201629131748920160424,2016,4,9,11,9,11,679,5,3,C,5,0.5,3.00,40,10,1,0,0,0,0,,,1748920160424006,4,2,2,,,,,Y,,we,1748920160424,1,1748920160424006,,,,1,S:8AM-8PM,04,NEW LONDON,1430,172904,,,1,2,8,1,8,17MAR17:11:08,8,8857042001,,5,,0,,,,,,,123.55243847,201604913weS:8AM-8PM,,0,1748920160424006,8
STRIPED BASS,WINTER FLOUNDER,201604913wdS:8AM-8PM,201629131748920160427,2016,5,36,119,9,1,6,1,3,C,5,3.5,,50,0,1,0,0,0,0,,,1748920160427001,4,2,2,,,,,O,,wd,1748920160427,1,1748920160427001,,,,1,S:8AM-8PM,04,WESTCHESTER,1544,172904,167680,,1,1,8,1,8,17MAR17:11:08,8,8857042001,8835020102,0,,0,,,,,,,5125.86328,201604913wdS:8AM-8PM,,0,1748920160427001,8
,STRIPED BASS,201603913weS:8AM-8PM,201629131757820160320,2016,4,9,11,9,11,754,2,3,C,5,0.5,,120,3,1,0,0,0,0,,,1757820160320001,4,2,2,,,,,Y,,we,1757820160320,3,1757820160320001,,,,1,S:8AM-8PM,03,NEW LONDON,809,167680,,,1,1,8,1,8,17MAR17:11:08,8,8835020102,,2,,0,,,,,,,1176.4822116,201603913weS:8AM-8PM,,0,1757820160320001,8
,WINTER FLOUNDER,201604913weS:8AM-8PM,201629131757820160402,2016,4,9,11,9,11,679,2,3,C,5,2,0.00,200,2,1,0,1,0,0,,,1757820160402001,4,2,1,,,,,Y,,we,1757820160402,1,1757820160402001,2,1,0,1,S:8AM-8PM,04,NEW LONDON,1219,172904,,,1,1,8,1,1,17MAR17:11:08,8,8857042001,,2,,0,,,,,,,150.8741789,201604913weS:8AM-8PM,,0,1757820160402001,8
,WINTER FLOUNDER,201604913weS:8AM-8PM,201629131757820160402,2016,4,9,11,9,11,679,2,3,C,5,2,,150,2,1,0,0,0,0,,,1757820160402002,4,2,2,,,,,Y,,we,1757820160402,1,1757820160402002,,,,1,S:8AM-8PM,04,NEW LONDON,1221,172904,,,1,1,8,2,8,17MAR17:11:08,8,8857042001,,2,,0,,,,,,,150.8741789,201604913weS:8AM-8PM,,0,1757820160402002,8
,WINTER FLOUNDER,201604913weS:8AM-8PM,201629131757820160402,2016,4,9,11,9,11,679,2,3,C,5,3,,40,4,1,0,0,0,0,,,1757820160402003,4,2,2,,,,,Y,,we,1757820160402,1,1757820160402003,,,,1,S:8AM-8PM,04,NEW LONDON,1458,172904,,,1,1,8,1,8,17MAR17:11:08,8,8857042001,,2,,0,,,,,,,98.678178185,201604913weS:8AM-8PM,,0,1757820160402003,8
,WINTER FLOUNDER,201604913weS:8AM-8PM,201629131757820160402,2016,4,9,11,9,11,679,2,3,C,5,2.5,,40,0,1,0,0,0,0,,,1757820160402004,4,2,2,,,,,Y,,we,1757820160402,1,1757820160402004,,,,1,S:8AM-8PM,04,NEW LONDON,1501,172904,,,1,1,8,1,8,17MAR17:11:08,8,8857042001,,2,,0,,,,,,,98.678178185,201604913weS:8AM-8PM,,0,1757820160402004,8
,WINTER FLOUNDER,201604913weS:8AM-8PM,201629131757820160402,2016,4,9,11,9,11,679,2,3,C,5,3,0.00,2,0,1,0,1,0,0,,,1757820160402005,4,2,1,,,,,Y,,we,1757820160402,1,1757820160402005,2,1,0,1,S:8AM-8PM,04,NEW LONDON,1503,172904,,,1,1,8,2,1,17MAR17:11:08,8,8857042001,,2,,0,,,,,,,98.678178185,201604913weS:8AM-8PM,,0,1757820160402005,8
