common,strat_id,psu_id,AREA_X,ID_CODE,MODE_FX,ST,SUB_REG,WAVE,YEAR,month,kod,SP_CODE,CLAIM,RELEASE,HARVEST,CLAIM_UNADJ,HARVEST_UNADJ,RELEASE_UNADJ,tot_len_a,wgt_a,tot_len_b1,wgt_b1,tot_cat,wgt_ab1,tot_len,Landing,VAR_ID,ARX_METHOD,ALT_FLAG,fl_reg,wp_catch_precal,wp_int,wp_catch
,19972498304wd,1167919970430192,5,1167919970430003,3,9,4,2,1997,04,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19972498304wd,,0,8,287.37627925,4791.0292819,4791.0292819
,19972498304we,116771997040611679,5,1167719970406014,3,9,4,2,1997,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19972498304we,,0,8,287.37627925,1460.7990792,1460.7990792
,19972498304we,116771997040611679,5,1167719970406005,3,9,4,2,1997,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19972498304we,,0,8,287.37627925,1460.7990792,1460.7990792
,19972498304we,116771997040611679,5,1167719970406008,3,9,4,2,1997,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19972498304we,,0,8,287.37627925,1460.7990792,1460.7990792
,19972498304we,116771997040611679,5,1167719970406004,3,9,4,2,1997,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19972498304we,,0,8,287.37627925,1460.7990792,1460.7990792
,19972498304we,116771997040611679,5,1167719970406022,3,9,4,2,1997,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19972498304we,,0,8,287.37627925,1460.7990792,1460.7990792
,19972498304wd,116771997041111679,5,1167719970411001,3,9,4,2,1997,04,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19972498304wd,,0,8,287.37627925,1625.0977295,1625.0977295
,19972498304wd,116791997041611605,5,1167919970416004,3,9,4,2,1997,04,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19972498304wd,,0,8,287.37627925,4791.0292819,4791.0292819
,19972498304wd,116771997041111679,5,1167719970411006,3,9,4,2,1997,04,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19972498304wd,,0,8,287.37627925,1625.0977295,1625.0977295
,19972498304we,116771997040611679,5,1167719970406001,3,9,4,2,1997,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19972498304we,,0,8,287.37627925,1460.7990792,1460.7990792
,19972498304wd,116791997041611605,5,1167919970416003,3,9,4,2,1997,04,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19972498304wd,,0,8,287.37627925,4791.0292819,4791.0292819
,19972498304we,116771997040611679,5,1167719970406016,3,9,4,2,1997,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19972498304we,,0,8,287.37627925,1460.7990792,1460.7990792
,19972498304we,1167919970419189,5,1167919970419002,3,9,4,2,1997,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19972498304we,,0,8,287.37627925,4306.6524778,4306.6524778
,19972498304we,116771997040611679,5,1167719970406025,3,9,4,2,1997,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19972498304we,,0,8,287.37627925,1460.7990792,1460.7990792
,19972498304wd,116771997041111679,5,1167719970411005,3,9,4,2,1997,04,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19972498304wd,,0,8,287.37627925,1625.0977295,1625.0977295
,19972498304we,116771997040611679,5,1167719970406015,3,9,4,2,1997,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19972498304we,,0,8,287.37627925,1460.7990792,1460.7990792
,19972498304we,116771997040611679,5,1167719970406007,3,9,4,2,1997,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19972498304we,,0,8,287.37627925,1460.7990792,1460.7990792
,19972498304wd,116771997041111679,5,1167719970411004,3,9,4,2,1997,04,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19972498304wd,,0,8,287.37627925,1625.0977295,1625.0977295
,19972498304wd,116771997041111679,5,1167719970411003,3,9,4,2,1997,04,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19972498304wd,,0,8,287.37627925,1625.0977295,1625.0977295
,19972498304wd,116791997041611604,5,1167919970416002,3,9,4,2,1997,04,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19972498304wd,,0,8,287.37627925,1625.0977295,1625.0977295
,19972498304we,116771997040611679,5,1167719970406002,3,9,4,2,1997,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19972498304we,,0,8,287.37627925,1460.7990792,1460.7990792
,19972498304we,116771997040611679,5,1167719970406020,3,9,4,2,1997,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19972498304we,,0,8,287.37627925,1460.7990792,1460.7990792
,19972498304wd,116771997041111679,5,1167719970411007,3,9,4,2,1997,04,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19972498304wd,,0,8,287.37627925,1625.0977295,1625.0977295
,19972498304we,116771997040611679,5,1167719970406023,3,9,4,2,1997,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19972498304we,,0,8,287.37627925,1460.7990792,1460.7990792
,19972498304we,116771997040611679,5,1167719970406024,3,9,4,2,1997,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19972498304we,,0,8,287.37627925,1460.7990792,1460.7990792
,19972498304wd,116791997041711885,5,1167919970417002,3,9,4,2,1997,04,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19972498304wd,,0,8,287.37627925,4791.0292819,4791.0292819
,19972498304we,116771997040611679,5,1167719970406009,3,9,4,2,1997,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19972498304we,,0,8,287.37627925,1460.7990792,1460.7990792
,19972498304wd,1167919970429164,5,1167919970429001,3,9,4,2,1997,04,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19972498304wd,,0,8,287.37627925,4791.0292819,4791.0292819
,19972498304wd,116791997041711885,5,1167919970417001,3,9,4,2,1997,04,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19972498304wd,,0,8,287.37627925,4791.0292819,4791.0292819
