prim2_common,prim1_common,strat_id,psu_id,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,ASG_CODE,month,kod,MODE_ASG,new_list,PRT_CODE,CELLTYPE,fshinsp_a,num_fish_a,fl_reg,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,ZIP,TOURN,AGE,wp_int,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER
,SOUTHERN KINGFISH,198916128301we,103891989012912721,0,1,1,,1,1,127,127,Y,20,150,,2.5,1038919890129009,21,1,3,0,1,0,,,,6,12,12,6,2,1,1989,1038919890129,01,we,,,1038919890129009,2,1,0,8,9,,,12JUN91:15:13,1,1,1,,,,8835440601,,1,88,8,1430,32014,8,32,25161.04592,198916128301we,,0,1038919890129009
,,198916128301we,103891989012912721,0,1,1,,2,1,127,127,Y,1,12,,3,1038919890129016,21,1,3,0,0,0,,,,6,12,12,6,1,1,1989,1038919890129,01,we,,,1038919890129016,,,,8,1,,,12JUN91:15:13,1,8,1,,,,,,1,88,8,1640,32173,8,21,25161.04592,198916128301we,,0,1038919890129016
,,198916128301we,10629198901229985,0,1,1,,2,1,99,83,O,1,5,,2,1062919890122013,85,1,3,0,0,0,,,,7,12,12,6,1,1,1989,1062919890122,01,we,,,1062919890122013,,,,8,1,,,12JUN91:15:13,1,8,1,,,,,,1,88,8,1505,32670,8,22,18511.44593,198916128301we,,0,1062919890122013
,MUTTON SNAPPER,198916128301we,10629198901229985,0,1,1,,2,1,99,99,Y,8,50,,3,1062919890122017,85,1,3,0,0,0,,,,6,12,12,6,1,1,1989,1062919890122,01,we,,,1062919890122017,,,,8,1,,,12JUN91:15:13,1,8,1,,,,8835360103,,1,88,8,1540,33409,8,30,25161.04592,198916128301we,,0,1062919890122017
,,198916128301we,103891989012912721,0,1,1,,2,1,127,117,Y,0,5,,2.5,1038919890129013,21,1,3,0,0,0,,,,6,12,12,6,1,1,1989,1038919890129,01,we,,,1038919890129013,,,,8,1,,,12JUN91:15:13,1,8,1,,,,,,1,88,8,1525,32714,8,25,25161.04592,198916128301we,,0,1038919890129013
,,198916128301wd,10629198901309918,1,1,1,,2,1,99,998,O,5,15,,4,1062919890130019,18,2,3,2,0,0,,,,,12,99,6,1,1,1989,1062919890130,01,wd,,,1062919890130019,2,,,8,1,,,12JUN91:15:13,1,8,1,,,,,,1,88,8,1530,99997,8,78,21447.729978,198916128301wd,,0,1062919890130019
,,198916128301we,11290198901089299,0,1,1,,2,1,9,9,Y,2,40,,5,1129019890108006,299,5,3,0,0,0,,,,6,12,12,6,1,1,1989,1129019890108,01,we,,,1129019890108006,,,,8,1,,,12JUN91:15:13,1,8,1,,,,,,1,88,8,1240,32746,8,17,48251.454036,198916128301we,,0,1129019890108006
,BLUEFISH,198916128301wd,10629198901309918,0.5,1,1,,2,1,99,99,Y,9,104,,3,1062919890130015,18,2,3,0,0,0,,,,6,12,12,6,1,1,1989,1062919890130,01,wd,,,1062919890130015,,,,8,1,,,12JUN91:15:13,1,8,1,,,,8835250101,,1,88,8,1505,33410,8,63,29152.088978,198916128301wd,,0,1062919890130015
,,198916128301we,10629198901229985,0,1,1,,2,1,99,1,O,24,120,,1.5,1062919890122001,85,1,3,0,0,0,,,,5,12,36,6,1,1,1989,1062919890122,01,we,,,1062919890122001,,,,8,1,,,12JUN91:15:13,1,8,1,,,,,,1,88,8,1100,32182,8,50,18511.44593,198916128301we,,0,1062919890122001
,BLACK DRUM,198916128301wd,10629198901309918,0,1,1,,1,1,99,99,Y,8,52,,2,1062919890130020,18,2,3,0,3,0,,,,6,12,12,6,1,1,1989,1062919890130,01,wd,,,1062919890130020,2,3,0,8,1,,,12JUN91:15:13,1,1,1,,,,8835440801,,1,88,8,1535,33415,8,35,29152.088978,198916128301wd,,0,1062919890130020
CREVALLE JACK,BLUEFISH,198916128301wd,10629198901309918,1,1,1,,2,1,99,99,Y,24,150,,5,1062919890130006,18,2,3,1,0,0,,,,6,12,12,6,1,1,1989,1062919890130,01,wd,,,1062919890130006,2,,,8,1,,,12JUN91:15:13,1,8,1,,,,8835250101,8835280303,1,88,8,1235,33403,8,23,29152.088978,198916128301wd,,0,1062919890130006
,,198916128301wd,10629198901309918,0,1,1,,2,1,99,998,O,0,1,,1,1062919890130008,18,2,3,0,0,0,,,,,12,99,6,1,1,1989,1062919890130,01,wd,,,1062919890130008,,,,8,1,,,12JUN91:15:13,1,8,1,,,,,,1,88,8,1320,99997,8,53,21447.729978,198916128301wd,,0,1062919890130008
,,198916128302we,11290198902119225,0,1,1,,2,1,9,145,O,2,2,,4,1129019890211001,225,5,3,0,0,0,,,,,12,26,6,1,1,1989,1129019890211,02,we,,,1129019890211001,,,,8,1,,,12JUN91:15:13,1,8,1,,,,,,1,88,8,1115,38640,8,55,35499.485405,198916128302we,,0,1129019890211001
,,198916128301wd,10629198901069918,1,1,1,,2,1,99,85,Y,20,40,,5,1062919890106003,18,2,3,2,0,0,,,,6,12,12,6,1,1,1989,1062919890106,01,wd,,,1062919890106003,2,,,8,1,,,12JUN91:15:13,1,8,1,,,,,,1,88,8,1145,33455,8,33,29152.088978,198916128301wd,,0,1062919890106003
,,198916128301we,103891989012912721,0,1,1,,2,1,127,83,O,1,6,,3,1038919890129020,21,1,3,0,0,0,,,,7,12,12,6,1,1,1989,1038919890129,01,we,,,1038919890129020,,,,8,1,,,12JUN91:15:13,1,8,1,,,,,,1,88,8,1740,32673,8,59,18511.44593,198916128301we,,0,1038919890129020
,,198916128301we,103891989012912721,0,1,1,,2,1,127,55,O,3,3,,2,1038919890129004,21,1,3,0,0,0,,,,,12,54,6,1,1,1989,1038919890129,01,we,,,1038919890129004,,,,8,9,,,12JUN91:15:13,1,8,1,,,,,,1,88,8,1210,99998,8,70,18511.44593,198916128301we,,0,1038919890129004
,,198916128301we,106291989011699278,0,1,1,,2,1,99,99,Y,30,30,,2.5,1062919890116017,278,1,3,3,0,0,,,,6,12,12,6,1,1,1989,1062919890116,01,we,,,1062919890116017,2,,,8,1,,,12JUN91:15:13,1,8,1,,,,,,1,88,8,1610,33404,8,82,25161.04592,198916128301we,,0,1062919890116017
,,198916128301we,10629198901229985,0,1,1,,2,1,99,99,Y,12,48,,2,1062919890122003,85,1,3,1,0,0,,,,6,12,12,6,1,1,1989,1062919890122,01,we,,,1062919890122003,2,0,2,8,1,,,12JUN91:15:13,1,8,1,,,,,,1,88,8,1135,33460,8,38,25161.04592,198916128301we,,0,1062919890122003
,,198916128301we,103891989012912721,0,1,1,,2,1,127,7,O,2,2,,2.5,1038919890129017,21,1,3,0,0,0,,,,,12,19,6,1,1,1989,1038919890129,01,we,,,1038919890129017,,,,8,1,,,12JUN91:15:13,1,8,1,,,,,,1,88,8,1650,32544,8,47,18511.44593,198916128301we,,0,1038919890129017
,,198916128301we,106291989011699278,0,1,1,,2,1,99,9,O,16,16,,2.5,1062919890116018,278,1,3,2,0,0,,,,5,12,34,6,1,1,1989,1062919890116,01,we,,,1062919890116018,2,,,8,1,,,12JUN91:15:13,1,8,1,,,,,,1,88,8,1620,38260,8,77,18511.44593,198916128301we,,0,1062919890116018
,FLORIDA POMPANO,198916128301we,10629198901229985,0,1,1,,2,1,99,99,Y,32,200,,1,1062919890122006,85,1,3,0,0,0,,,,6,12,12,6,1,1,1989,1062919890122,01,we,,,1062919890122006,,,,8,1,,,12JUN91:15:13,1,8,1,,,,8835280901,,1,88,8,1245,33426,8,16,25161.04592,198916128301we,,0,1062919890122006
,,198916128301wd,10629198901069985,0,1,1,,2,1,99,95,Y,0,1,,7,1062919890106016,85,1,3,0,0,0,,,,6,12,12,6,1,1,1989,1062919890106,01,wd,,,1062919890106016,,,,8,1,,,12JUN91:15:13,1,8,1,,,,,,1,88,8,1620,99998,8,42,29152.088978,198916128301wd,,0,1062919890106016
