prim2_common,prim1_common,strat_id,psu_id,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,ASG_CODE,month,kod,MODE_ASG,new_list,PRT_CODE,CELLTYPE,fshinsp_a,num_fish_a,fl_reg,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,ZIP,TOURN,TURTLE,AGE,wp_int,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER
,,199016128302wd,10629199002289985,,1,1,,2,1,99,43,O,0,0,,2,1062919900228014,85,1,3,0,0,0,,,,,12,17,6,1,1,1990,1062919900228,02,wd,,,1062919900228014,,,,8,1,,,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1450,60181,8,8,56,18672.516627,199016128302wd,,0,1062919900228014
,,199016128302we,10629199002249985,,1,1,,2,1,99,99,Y,2,12,,3,1062919900224003,85,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1062919900224,02,we,,,1062919900224003,,,,8,1,,Palm Beach,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1040,33405,8,8,32,21905.350766,199016128302we,,0,1062919900224003
,,199016128302wd,11291199002129137,0,1,1,,2,1,9,95,Y,1,2,,3.5,1129119900212008,137,1,3,2,0,0,,,,6,12,12,6,1,1,1990,1129119900212,02,wd,,,1129119900212008,2,,,8,1,,Orange,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1500,32712,8,8,51,48671.29673,199016128302wd,,0,1129119900212008
,,199016128301we,112141990012886279,0,1,1,,1,1,86,86,Y,3,24,,3.5,1121419900128005,279,1,3,0,2,0,,,,6,12,12,6,1,1,1990,1121419900128,01,we,,,1121419900128005,2,1,0,8,1,,MIAMI-DADE,08AUG91:08:36,1,1,1,,,,0,0,1,88,8,1200,33161,8,,42,21905.350766,199016128301we,,0,1121419900128005
,,199016128302wd,10629199002149985,,1,1,,2,1,99,69,O,0,0,,3,1062919900214017,85,1,3,0,0,0,,,,5,12,42,6,1,1,1990,1062919900214,02,wd,,,1062919900214017,,,,8,1,,,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1615,18411,8,8,40,18672.516627,199016128302wd,,0,1062919900214017
GULF KINGFISH,FLORIDA POMPANO,199016128302wd,10629199002289985,,1,1,,2,1,99,89,O,2,2,,2,1062919900228007,85,1,3,0,0,0,,,,6,12,13,6,1,1,1990,1062919900228,02,wd,,,1062919900228007,,,,8,1,,,08AUG91:08:36,1,8,1,,,,8835280901,8835440602,1,88,8,1225,30084,8,8,62,18672.516627,199016128302wd,,0,1062919900228007
,SOUTHERN KINGFISH,199016128302we,10542199002043143,,1,1,,2,1,31,31,Y,1,15,,4,1054219900204008,43,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1054219900204,02,we,,,1054219900204008,,,,8,1,,Duval,08AUG91:08:36,1,8,1,,,,8835440601,0,1,88,8,1515,32233,8,8,99,21905.350766,199016128302we,,0,1054219900204008
CREVALLE JACK,BLUEFISH,199016128302wd,10629199002079918,,1,1,,2,1,99,99,Y,32,100,,1,1062919900207008,18,2,3,0,0,0,,,,6,12,12,6,1,1,1990,1062919900207,02,wd,,,1062919900207008,,,,8,1,,Palm Beach,08AUG91:08:36,1,8,1,,,,8835250101,8835280303,1,88,8,1320,33470,8,8,33,25379.975723,199016128302wd,,0,1062919900207008
COMMON SNOOK,CUBERA SNAPPER,199016128302wd,10629199002289985,0,1,1,,2,1,99,31,O,35,250,,2,1062919900228016,85,1,3,1,0,0,,,,,12,17,6,1,1,1990,1062919900228,02,wd,,,1062919900228016,2,0,5,8,1,,,08AUG91:08:36,1,8,1,,,,8835360101,8835010105,1,88,8,1525,60048,8,8,62,18672.516627,199016128302wd,,0,1062919900228016
,,199016128302we,10629199002249985,,1,1,,2,1,99,99,Y,8,52,,6,1062919900224010,85,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1062919900224,02,we,,,1062919900224010,,,,8,1,,Palm Beach,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1245,33462,8,8,58,21905.350766,199016128302we,,0,1062919900224010
