prim2_common,prim1_common,strat_id,psu_id,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,ASG_CODE,month,kod,MODE_ASG,new_list,PRT_CODE,CELLTYPE,fshinsp_a,num_fish_a,fl_reg,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,ZIP,DATE,TURTLE,TOURN,AGE,wp_int,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER
,,199116128301we,103891991012635163,,1,1,,2,1,35,35,Y,10,50,8,2.5,1038919910126007,163,1,3,0,0,0,0,,1,6,12,12,6,1,1,1991,1038919910126,01,we,,,1038919910126007,,,,8,1,,Flager,14OCT92:15:51,1,8,1,,,,,,1,88,8,1315,32136,910126,3,8,77,29280.455909,199116128301we,,0,1038919910126007
,,199116128301wd,10629199101289985,,1,1,,2,1,99,89,O,2,2,2,2,1062919910128005,85,1,3,0,0,0,1,,2,5,12,42,6,1,1,1991,1062919910128,01,wd,,,1062919910128005,,,,8,1,,,14OCT92:15:52,1,8,1,,,,,,1,88,8,1105,18347,910128,3,8,68,24959.189454,199116128301wd,,0,1062919910128005
,,199116128302wd,106291991021399237,,1,1,,2,1,99,157,O,4,4,8,2,1062919910213019,237,2,3,0,0,0,0,,1,0,12,26,6,1,1,1991,1062919910213,02,wd,,,1062919910213019,,,,8,1,,,14OCT92:15:52,1,8,1,,,,,,1,88,8,1630,99998,910213,3,8,76,24959.189454,199116128302wd,,0,1062919910213019
,,199116128301wd,10629199101119985,,1,1,,2,1,99,3,O,0,0,8,2,1062919910111002,85,1,3,0,0,0,0,,1,4,12,9,6,1,1,1991,1062919910111,01,wd,,,1062919910111002,,,,8,1,,Hartford,21AUG91:15:40,1,8,1,,,,,,1,88,8,1015,06053,910111,3,8,28,24959.189454,199116128301wd,,0,1062919910111002
,,199116128301we,103891991012635163,,1,1,,2,1,35,35,Y,10,50,1,1.5,1038919910126003,163,1,3,0,0,0,0,,2,6,12,12,6,2,1,1991,1038919910126,01,we,,,1038919910126003,,,,8,9,,Flager,14OCT92:15:51,1,8,1,,,,,,1,88,8,1115,32136,910126,3,8,20,29280.455909,199116128301we,,0,1038919910126003
GREAT BARRACUDA,BLUE RUNNER,199116128302wd,106291991022299237,,1,1,,2,1,99,99,Y,18,40,8,3,1062919910222020,237,1,3,0,0,0,0,,1,6,12,12,6,1,1,1991,1062919910222,02,wd,,,1062919910222020,,,,8,1,,Palm Beach,14OCT92:15:52,1,8,1,,,,8835280306,8837010104,1,88,8,1615,33435,910222,3,8,18,33924.919445,199116128302wd,,0,1062919910222020
,,199116128301we,103891991012635163,,1,1,,2,1,35,35,O,4,10,2,2,1038919910126014,163,1,3,0,0,0,1,,2,6,12,37,6,1,1,1991,1038919910126,01,we,,,1038919910126014,,,,8,1,,,14OCT92:15:51,1,8,1,,,,,,1,88,8,1600,28658,910126,3,8,60,21542.171899,199116128301we,,0,1038919910126014
,,199116128301we,103891991012635163,,1,1,,2,1,35,69,Y,1,8,2,2,1038919910126002,163,1,3,0,0,0,1,,2,6,12,12,6,1,1,1991,1038919910126,01,we,,,1038919910126002,,,,8,1,,Lake,14OCT92:15:51,1,8,1,,,,,,1,88,8,1030,32776,910126,3,8,47,29280.455909,199116128301we,,0,1038919910126002
,,199116128301we,112141991011311109,,1,1,,2,1,11,11,Y,1,12,8,3,1121419910113006,109,1,3,0,0,0,0,,1,6,12,12,6,1,1,1991,1121419910113,01,we,,,1121419910113006,,,,8,1,,Broward,14OCT92:15:52,1,8,1,,,,,,1,88,8,1420,33024,910113,3,8,22,29280.455909,199116128301we,,0,1121419910113006
,,199116128302wd,106291991022299237,,1,1,,2,1,99,760,O,5,5,8,2,1062919910222017,237,1,3,0,0,0,0,,1,5,12,51,6,1,1,1991,1062919910222,02,wd,,,1062919910222017,,,,8,1,,Richmond City,21AUG91:15:40,1,8,1,,,,,,1,88,8,1530,23235,910222,3,8,24,24959.189454,199116128302wd,,0,1062919910222017
