prim2_common,prim1_common,strat_id,psu_id,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,ASG_CODE,month,kod,MODE_ASG,new_list,PRT_CODE,CELLTYPE,fshinsp_a,num_fish_a,fl_reg,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,ZIP,wp_int,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER
WINTER FLOUNDER,STRIPED BASS,19932498304wd,111501993041611749,,3,5,,2,1,11,11,Y,0,1,2,1,1115019930416003,749,5,3,0,0,0,1,,3,4,9,9,4,1,2,1993,1115019930416,04,wd,,,1115019930416003,,,,8,1,,NEW LONDON,01JUN93:09:34,8,8,1,,,,8835020102,8857042001,1,,8,1450,06382,6450.2728528,19932498304wd,,0,1115019930416003
,WINTER FLOUNDER,19932498304wd,1115019930409189,,C,5,,2,1,1,1,Y,1,100,1,2.5,1115019930409008,89,1,3,0,0,0,0,,2,4,9,9,4,1,2,1993,1115019930409,04,wd,,,1115019930409008,,,,8,1,,FAIRFIELD,01JUN93:09:34,8,8,1,,,,8857042001,,1,,8,1330,06606,2187.9064291,19932498304wd,,0,1115019930409008
,WINTER FLOUNDER,19932498304wd,1115019930409189,0,C,5,,1,1,1,1,Y,0,70,2,2,1115019930409004,89,1,3,0,2,0,1,,2,4,9,9,4,1,2,1993,1115019930409,04,wd,,,1115019930409004,1,2,0,8,1,,FAIRFIELD,01JUN93:09:34,8,1,1,,,,8857042001,,1,,8,1254,06430,2187.9064291,19932498304wd,,0,1115019930409004
,WINTER FLOUNDER,19932498304we,1115019930417162,,C,5,,2,1,1,1,Y,3,6,1,4,1115019930417007,62,1,3,0,0,0,0,,3,4,9,9,4,1,2,1993,1115019930417,04,we,,,1115019930417007,,,,8,1,,FAIRFIELD,01JUN93:09:34,8,8,1,,,,8857042001,,1,,8,1320,06851,5798.1452271,19932498304we,,0,1115019930417007
,WINTER FLOUNDER,19932498304we,11150199304041881,0,3,5,,1,2,1,1,Y,50,300,1,5.5,1115019930404005,881,5,3,0,4,0,0,,2,4,9,9,4,1,2,1993,1115019930404,04,we,,,1115019930404005,1,4,0,8,1,,FAIRFIELD,01JUN93:09:34,8,2,1,,,,8857042001,,1,,2,1335,06854,5798.1452271,19932498304we,,0,1115019930404005
WINTER FLOUNDER,STRIPED BASS,19932498304wd,111501993041611749,,3,5,,2,1,11,11,Y,3,20,1,1,1115019930416001,749,5,3,0,0,0,0,,3,4,9,9,4,1,2,1993,1115019930416,04,wd,,,1115019930416001,,,,8,1,,NEW LONDON,01JUN93:09:34,8,8,1,,,,8835020102,8857042001,1,,8,1448,06370,6450.2728528,19932498304wd,,0,1115019930416001
,WINTER FLOUNDER,19932498304we,1115019930417162,,C,5,,2,1,1,1,Y,3,30,1,0.5,1115019930417014,62,1,3,0,0,0,0,,2,4,9,9,4,1,2,1993,1115019930417,04,we,,,1115019930417014,,,,8,1,,FAIRFIELD,01JUN93:09:34,8,8,1,,,,8857042001,,1,,8,1448,06854,5798.1452271,19932498304we,,0,1115019930417014
,WINTER FLOUNDER,19932498304we,1115019930417162,,C,5,,3,0,1,1,Y,98,998,2,3.5,1115019930417005,62,1,3,0,0,1,1,,2,4,9,9,4,1,2,1993,1115019930417,04,we,,,1115019930417004,,,,8,9,,FAIRFIELD,01JUN93:09:34,8,8,1,,,,8857042001,,1,,8,1155,99999,5798.1452271,19932498304we,,0,1115019930417004
,WINTER FLOUNDER,19932498304wd,1115019930409189,,C,5,,2,1,1,1,Y,0,40,2,2.5,1115019930409012,89,1,3,0,0,0,1,,2,4,9,9,4,1,2,1993,1115019930409,04,wd,,,1115019930409012,,,,8,1,,FAIRFIELD,01JUN93:09:34,8,8,1,,,,8857042001,,1,,8,1358,06430,2187.9064291,19932498304wd,,0,1115019930409012
,WINTER FLOUNDER,19932498304we,1115019930417162,,C,5,,2,1,1,1,Y,1,50,1,2,1115019930417001,62,1,3,0,0,0,0,,3,4,9,9,4,1,2,1993,1115019930417,04,we,,,1115019930417001,,,,8,1,,FAIRFIELD,01JUN93:09:34,8,8,1,,,,8857042001,,1,,8,1120,06750,5798.1452271,19932498304we,,0,1115019930417001
,WINTER FLOUNDER,19932498304we,1115019930417162,0,C,5,,1,1,1,13,Y,1,20,2,2,1115019930417002,62,1,3,0,1,0,1,,3,4,9,9,4,1,2,1993,1115019930417,04,we,,,1115019930417002,1,1,0,8,1,,TOLLAND,01JUN93:09:34,8,1,1,,,,8857042001,,1,,8,1121,06066,5798.1452271,19932498304we,,0,1115019930417002
,WINTER FLOUNDER,19932498304wd,1115019930409189,,C,5,,2,1,1,1,Y,0,70,1,2,1115019930409003,89,1,3,0,0,0,0,,2,4,9,9,4,1,2,1993,1115019930409,04,wd,,,1115019930409003,,,,8,1,,FAIRFIELD,01JUN93:09:34,8,8,1,,,,8857042001,,1,,8,1253,06430,2187.9064291,19932498304wd,,0,1115019930409003
,WINTER FLOUNDER,19932498304we,1115019930417162,,C,5,,2,1,1,1,Y,1,24,2,0.5,1115019930417015,62,1,3,0,0,0,1,,2,4,9,9,4,1,2,1993,1115019930417,04,we,,,1115019930417015,,,,8,1,,FAIRFIELD,01JUN93:09:34,8,8,1,,,,8857042001,,1,,8,1449,06854,5798.1452271,19932498304we,,0,1115019930417015
,WINTER FLOUNDER,19932498304we,1115019930417162,,C,5,,2,1,1,13,Y,1,20,2,2,1115019930417003,62,1,3,0,0,0,1,,3,4,9,9,4,1,2,1993,1115019930417,04,we,,,1115019930417003,,,,8,1,,TOLLAND,01JUN93:09:34,8,8,1,,,,8857042001,,1,,8,1122,06066,5798.1452271,19932498304we,,0,1115019930417003
